Date,Day Number,Day,Short Month,Calendar Month Number,Calendar Month Label,Calendar Year,Calendar Year Label,Fiscal Month Number,Fiscal Month Label,Fiscal Year,Fiscal Year Label,ISO Week Number
1-Jan-16,1,1,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,53
2-Jan-16,2,2,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,53
3-Jan-16,3,3,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,53
4-Jan-16,4,4,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
5-Jan-16,5,5,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
6-Jan-16,6,6,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
7-Jan-16,7,7,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
8-Jan-16,8,8,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
9-Jan-16,9,9,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
10-Jan-16,10,10,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,1
11-Jan-16,11,11,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
12-Jan-16,12,12,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
13-Jan-16,13,13,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
14-Jan-16,14,14,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
15-Jan-16,15,15,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
16-Jan-16,16,16,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
17-Jan-16,17,17,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,2
18-Jan-16,18,18,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
19-Jan-16,19,19,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
20-Jan-16,20,20,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
21-Jan-16,21,21,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
22-Jan-16,22,22,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
23-Jan-16,23,23,Jan,1,CY2016-Jan,2016,CY2016,3,FY2016-Jan,2016,FY2016,3
