Stock Item Key,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Tax Rate,Unit Price,Recommended Retail Price,Typical Weight Per Unit,Cost Price,Stock Category,Subcategory,Manufacturing Country,Availability
1,Void fill 400 L bag (White) 400L,White,Blister Pack,Blister Pack,Hasbro,400L,14,10,FALSE,14,50,74.75,1,35.43,Accessories,Computer Acc,Japan,In Stock
2,Void fill 300 L bag (White) 300L,White,Unit,Unit,Sony,300L,14,10,FALSE,14,37.5,56.06,0.75,28.25,Equipment,Workshop Tools,India,Backorder
3,Void fill 200 L bag (White) 200L,White,Shrink Wrap,Shrink Wrap,Sony,200L,14,10,FALSE,14,25,37.38,0.5,13.36,Accessories,Computer Acc,Germany,Backorder
4,Void fill 100 L bag (White) 100L,White,Unit,Shrink Wrap,Sony,100L,14,10,FALSE,14,12.5,18.69,0.25,8.64,Novelty,Gift Items,Germany,In Stock
5,Air cushion machine (Blue),Blue,Pack,Shrink Wrap,Hasbro,Standard,20,1,FALSE,20,1899,2839.01,10,1304.89,Accessories,Computer Acc,China,In Stock
6,Air cushion film 200mmx200mm 325m,No Color,Shrink Wrap,Blister Pack,Mattel,325m,14,1,FALSE,14,90,134.55,6,49.41,Packing Materials,Shipping Supplies,Japan,Backorder
7,Air cushion film 200mmx100mm 325m,No Color,Blister Pack,Blister Pack,Sony,325m,14,1,FALSE,14,87,130.07,5,59.6,Clothing,T-Shirts,Japan,In Stock
8,Large  replacement blades 18mm,No Color,Shrink Wrap,Shrink Wrap,Hasbro,18mm,14,10,FALSE,14,4.3,6.43,0.8,2.72,Equipment,Workshop Tools,Vietnam,Backorder
9,Small 9mm replacement blades 9mm,No Color,Blister Pack,Pack,Bandai,9mm,14,10,FALSE,14,4.1,6.13,0.7,3.15,Accessories,Computer Acc,India,In Stock
10,Packing knife with metal insert blade (Yellow) 18mm,Yellow,Blister Pack,Shrink Wrap,LEGO,18mm,14,5,FALSE,14,2.4,3.59,0.5,1.65,Toys,Action Figures,Germany,In Stock
11,Packing knife with metal insert blade (Yellow) 9mm,Yellow,Shrink Wrap,Unit,Bandai,9mm,14,5,FALSE,14,1.89,2.83,0.5,1.12,Accessories,Computer Acc,Germany,In Stock
12,Permanent marker red 5mm nib (Red) 5mm,Red,Shrink Wrap,Shrink Wrap,LEGO,5mm,14,12,FALSE,14,2.7,4.04,0.1,1.66,Packing Materials,Shipping Supplies,Vietnam,In Stock
13,Permanent marker blue 5mm nib (Blue) 5mm,Blue,Unit,Unit,Bandai,5mm,14,12,FALSE,14,2.7,4.04,0.1,1.57,Packing Materials,Shipping Supplies,India,In Stock
14,Permanent marker black 5mm nib (Black) 5mm,Black,Unit,Pack,LEGO,5mm,14,12,FALSE,14,2.7,4.04,0.1,1.39,Packing Materials,Shipping Supplies,Japan,In Stock
15,Tape dispenser (Blue),Blue,Unit,Shrink Wrap,Hasbro,Standard,20,10,FALSE,20,32,47.84,1,16.11,Equipment,Workshop Tools,Vietnam,In Stock
