Transaction Key,Date Key,Customer Key,Bill To Customer Key,Supplier Key,Transaction Type Key,Payment Method Key,WWI Customer Transaction ID,WWI Supplier Transaction ID,WWI Invoice ID,WWI Purchase Order ID,Supplier Invoice Number,Total Excluding Tax,Tax Amount,Total Including Tax,Outstanding Balance,Is Finalized
44,1/2/2013,0,0,0,3,4,233,NULL,NULL,NULL,NULL,0,0,-465.75,0,1
45,1/2/2013,0,0,0,3,4,234,NULL,NULL,NULL,NULL,0,0,-897,0,1
46,1/2/2013,0,0,0,3,4,235,NULL,NULL,NULL,NULL,0,0,-2645,0,1
47,1/2/2013,0,0,0,3,4,236,NULL,NULL,NULL,NULL,0,0,-946.45,0,1
48,1/2/2013,0,0,0,3,4,237,NULL,NULL,NULL,NULL,0,0,-747.5,0,1
49,1/2/2013,0,0,0,3,4,238,NULL,NULL,NULL,NULL,0,0,-542.8,0,1
50,1/2/2013,0,0,0,3,4,239,NULL,NULL,NULL,NULL,0,0,-276,0,1
51,1/2/2013,0,0,0,3,4,240,NULL,NULL,NULL,NULL,0,0,-3659.3,0,1
52,1/2/2013,0,0,0,3,4,241,NULL,NULL,NULL,NULL,0,0,-809.6,0,1
53,1/2/2013,0,0,0,3,4,242,NULL,NULL,NULL,NULL,0,0,-554.3,0,1
54,1/2/2013,0,0,0,3,4,243,NULL,NULL,NULL,NULL,0,0,-517.5,0,1
55,1/2/2013,0,0,0,3,4,244,NULL,NULL,NULL,NULL,0,0,-104.65,0,1
56,1/2/2013,0,0,0,3,4,245,NULL,NULL,NULL,NULL,0,0,-296.7,0,1
57,1/2/2013,0,0,0,3,4,246,NULL,NULL,NULL,NULL,0,0,-428.95,0,1
58,1/2/2013,0,0,0,3,4,247,NULL,NULL,NULL,NULL,0,0,-3662.75,0,1
59,1/2/2013,0,0,0,3,4,248,NULL,NULL,NULL,NULL,0,0,-494.5,0,1
60,1/2/2013,0,0,0,3,4,249,NULL,NULL,NULL,NULL,0,0,-200.1,0,1
